id,innings,match_no,over,Ball No,batter,bowler,extra_type,batsman_run,extras_run,total_run,non_boundary,iswicket_delivery,player_out,dismisal_kind,fielders_involved,batting_team,,,outcome,over,Ball No,comment,batter,bowler,score,ballnumber,inningno,over
335983,1,1,13,4,Shivam Dube,Alzarri Joseph,NA,0,0,0,1,0,,NA,,,,,0,13,4,"Alzarri Joseph to Shivam Dube, no run,",Shivam Dube,Alzarri Joseph,0,83,1,13.4
335983,1,1,13,5,Shivam Dube,Alzarri Joseph,NA,0,0,0,1,0,,NA,,,,,0,13,5,"Alzarri Joseph to Shivam Dube, no run,",Shivam Dube,Alzarri Joseph,0,84,1,13.5
335983,1,1,13,6,Shivam Dube,Alzarri Joseph,NA,1,0,1,1,0,,NA,,,,,1,13,6,"Alzarri Joseph to Shivam Dube, 1 run,",Shivam Dube,Alzarri Joseph,1,85,1,13.6
335983,1,1,14,1,Shivam Dube,Hardik Pandya,NA,1,0,1,1,0,,NA,,,,,1,14,1,"Hardik Pandya to Shivam Dube, 1 run,",Shivam Dube,Hardik Pandya,1,86,1,14.1
335983,1,1,14,2,Ruturaj Gaikwad,Hardik Pandya,NA,1,0,1,1,0,,NA,,,,,1,14,2,"Hardik Pandya to Ruturaj Gaikwad, 1 run,",Ruturaj Gaikwad,Hardik Pandya,1,87,1,14.2
335983,1,1,14,3,Shivam Dube,Hardik Pandya,legbyes,0,4,4,1,0,,NA,,,,,4lb,14,3,"Hardik Pandya to Shivam Dube, 4 leg bye,",Shivam Dube,Hardik Pandya,4,88,1,14.3
335983,1,1,14,4,Shivam Dube,Hardik Pandya,NA,1,0,1,1,0,,NA,,,,,1,14,4,"Hardik Pandya to Shivam Dube, 1 run,",Shivam Dube,Hardik Pandya,1,89,1,14.4
335983,1,1,14,5,Ruturaj Gaikwad,Hardik Pandya,NA,0,0,0,1,0,,NA,,,,,0,14,5,"Hardik Pandya to Ruturaj Gaikwad, no run,",Ruturaj Gaikwad,Hardik Pandya,0,90,1,14.5
335983,1,1,14,6,Ruturaj Gaikwad,Hardik Pandya,NA,1,0,1,1,0,,NA,,,,,1,14,6,"Hardik Pandya to Ruturaj Gaikwad, 1 run,",Ruturaj Gaikwad,Hardik Pandya,1,91,1,14.6
335983,1,1,15,1,Ruturaj Gaikwad,Alzarri Joseph,NA,1,0,1,1,0,,NA,,,,,1,15,1,"Alzarri Joseph to Ruturaj Gaikwad, 1 run,",Ruturaj Gaikwad,Alzarri Joseph,1,92,1,15.1
335983,1,1,15,2,Shivam Dube,Alzarri Joseph,NA,0,0,0,1,0,,NA,,,,,0,15,2,"Alzarri Joseph to Shivam Dube, no run,",Shivam Dube,Alzarri Joseph,0,93,1,15.2
335983,1,1,15,3,Shivam Dube,Alzarri Joseph,NA,1,0,1,1,0,,NA,,,,,1,15,3,"Alzarri Joseph to Shivam Dube, 1 run,",Shivam Dube,Alzarri Joseph,1,94,1,15.3
335983,1,1,15,4,Ruturaj Gaikwad,Alzarri Joseph,NA,1,0,1,1,0,,NA,,,,,1,15,4,"Alzarri Joseph to Ruturaj Gaikwad, 1 run,",Ruturaj Gaikwad,Alzarri Joseph,1,95,1,15.4
335983,1,1,15,5,Shivam Dube,Alzarri Joseph,NA,2,0,2,1,0,,NA,,,,,2,15,5,"Alzarri Joseph to Shivam Dube, 2 runs,",Shivam Dube,Alzarri Joseph,2,96,1,15.5
335983,1,1,15,6,Shivam Dube,Alzarri Joseph,NA,2,0,2,1,0,,NA,,,,,2,15,6,"Alzarri Joseph to Shivam Dube, 2 runs,",Shivam Dube,Alzarri Joseph,2,97,1,15.6
335983,1,1,16,1,Ruturaj Gaikwad,Rashid Khan,NA,6,0,6,0,0,,NA,,,,,6,16,1,"Rashid Khan to Ruturaj Gaikwad, Six,",Ruturaj Gaikwad,Rashid Khan,6,98,1,16.1
335983,1,1,16,2,Ruturaj Gaikwad,Rashid Khan,NA,2,0,2,1,0,,NA,,,,,2,16,2,"Rashid Khan to Ruturaj Gaikwad, 2 runs,",Ruturaj Gaikwad,Rashid Khan,2,99,1,16.2
335983,1,1,16,3,Ruturaj Gaikwad,Rashid Khan,NA,1,0,1,1,0,,NA,,,,,1,16,3,"Rashid Khan to Ruturaj Gaikwad, 1 run,",Ruturaj Gaikwad,Rashid Khan,1,100,1,16.3
335983,1,1,16,4,Shivam Dube,Rashid Khan,byes,0,1,1,1,0,,NA,,,,,1b,16,4,"Rashid Khan to Shivam Dube, 1 bye,",Shivam Dube,Rashid Khan,1,101,1,16.4
335983,1,1,16,5,Ruturaj Gaikwad,Rashid Khan,NA,0,0,0,1,0,,NA,,,,,0,16,5,"Rashid Khan to Ruturaj Gaikwad, no run,",Ruturaj Gaikwad,Rashid Khan,0,102,1,16.5
335983,1,1,16,6,Ruturaj Gaikwad,Rashid Khan,NA,1,0,1,1,0,,NA,,,,,1,16,6,"Rashid Khan to Ruturaj Gaikwad, 1 run,",Ruturaj Gaikwad,Rashid Khan,1,103,1,16.6
335983,1,1,17,1,Ruturaj Gaikwad,Alzarri Joseph,NA,0,0,0,1,1,,caught,,,,,w,17,1,"Alzarri Joseph to Ruturaj Gaikwad, no run,                           Wicket - c Shubman Gill b Alzarri Joseph batsmen out 92(50)",Ruturaj Gaikwad,Alzarri Joseph,0,104,1,17.1
335983,1,1,17,2,Ravindra Jadeja,Alzarri Joseph,NA,1,0,1,1,0,,NA,,,,,1,17,2,"Alzarri Joseph to Ravindra Jadeja, 1 run,",Ravindra Jadeja,Alzarri Joseph,1,105,1,17.2
335983,1,1,17,3,Shivam Dube,Alzarri Joseph,NA,1,0,1,1,0,,NA,,,,,1,17,3,"Alzarri Joseph to Shivam Dube, 1 run,",Shivam Dube,Alzarri Joseph,1,106,1,17.3
335983,1,1,17,4,Ravindra Jadeja,Alzarri Joseph,NA,0,0,0,1,1,,caught,,,,,w,17,4,"Alzarri Joseph to Ravindra Jadeja, no run,                           Wicket - c Vijay Shankar b Alzarri Joseph batsmen out 1(2)",Ravindra Jadeja,Alzarri Joseph,0,107,1,17.4
335983,1,1,17,5,MS Dhoni,Alzarri Joseph,NA,1,0,1,1,0,,NA,,,,,1,17,5,"Alzarri Joseph to MS Dhoni, 1 run,",MS Dhoni,Alzarri Joseph,1,108,1,17.5
335983,1,1,17,6,Shivam Dube,Alzarri Joseph,NA,1,0,1,1,0,,NA,,,,,1,17,6,"Alzarri Joseph to Shivam Dube, 1 run,",Shivam Dube,Alzarri Joseph,1,109,1,17.6
335983,1,1,18,1,Shivam Dube,Mohammed Shami,NA,2,0,2,1,0,,NA,,,,,2,18,1,"Mohammed Shami to Shivam Dube, 2 runs,",Shivam Dube,Mohammed Shami,2,110,1,18.1
335983,1,1,18,2,Shivam Dube,Mohammed Shami,NA,6,0,6,0,0,,NA,,,,,6,18,2,"Mohammed Shami to Shivam Dube, Six,",Shivam Dube,Mohammed Shami,6,111,1,18.2
335983,1,1,18,3,Shivam Dube,Mohammed Shami,NA,0,0,0,1,1,,caught,,,,,w,18,3,"Mohammed Shami to Shivam Dube, no run,                           Wicket - c Rashid Khan b M Shami batsmen out 19(18)",Shivam Dube,Mohammed Shami,0,112,1,18.3
335983,1,1,18,4,Mitchell Santner,Mohammed Shami,NA,0,0,0,1,0,,NA,,,,,0,18,4,"Mohammed Shami to Mitchell Santner, no run,",Mitchell Santner,Mohammed Shami,0,113,1,18.4
335983,1,1,18,5,Mitchell Santner,Mohammed Shami,NA,1,0,1,1,0,,NA,,,,,1,18,5,"Mohammed Shami to Mitchell Santner, 1 run,",Mitchell Santner,Mohammed Shami,1,114,1,18.5
335983,1,1,18,6,MS Dhoni,Mohammed Shami,NA,1,0,1,1,0,,NA,,,,,1,18,6,"Mohammed Shami to MS Dhoni, 1 run,",MS Dhoni,Mohammed Shami,1,115,1,18.6
335983,1,1,19,1,MS Dhoni,Josh Little,NA,1,0,1,1,0,,NA,,,,,1,19,1,"Josh Little to MS Dhoni, 1 run,",MS Dhoni,Josh Little,1,116,1,19.1
335983,1,1,19,2,Mitchell Santner,Josh Little,legbyes,0,1,1,1,0,,NA,,,,,1lb,19,2,"Josh Little to Mitchell Santner, 1 leg bye,",Mitchell Santner,Josh Little,1,117,1,19.2
